"time (s)","velocity (m/s)"
0.000000,    0.000000
0.010000,    -0.098100
0.020000,    -0.196200
0.030000,    -0.294300
0.040000,    -0.392399
0.050000,    -0.490499
0.060000,    -0.588598
0.070000,    -0.686696
0.080000,    -0.784794
0.090000,    -0.882891
0.100000,    -0.980987
0.110000,    -1.079083
0.120000,    -1.177177
0.130000,    -1.275271
0.140000,    -1.373363
0.150000,    -1.471454
0.160000,    -1.569544
0.170000,    -1.667633
0.180000,    -1.765719
0.190000,    -1.863805
0.200000,    -1.961889
0.210000,    -2.059971
0.220000,    -2.158051
0.230000,    -2.256129
0.240000,    -2.354205
0.250000,    -2.452279
0.260000,    -2.550351
0.270000,    -2.648420
0.280000,    -2.746487
0.290000,    -2.844552
0.300000,    -2.942614
0.310000,    -3.040674
0.320000,    -3.138730
0.330000,    -3.236784
0.340000,    -3.334835
0.350000,    -3.432883
0.360000,    -3.530928
0.370000,    -3.628969
0.380000,    -3.727008
0.390000,    -3.825042
0.400000,    -3.923074
0.410000,    -4.021102
0.420000,    -4.119126
0.430000,    -4.217146
0.440000,    -4.315163
0.450000,    -4.413176
0.460000,    -4.511185
0.470000,    -4.609189
0.480000,    -4.707190
0.490000,    -4.805186
0.500000,    -4.903178
0.510000,    -5.001165
0.520000,    -5.099148
0.530000,    -5.197126
0.540000,    -5.295099
0.550000,    -5.393068
0.560000,    -5.491032
0.570000,    -5.588990
0.580000,    -5.686944
0.590000,    -5.784892
0.600000,    -5.882835
0.610000,    -5.980773
0.620000,    -6.078706
0.630000,    -6.176632
0.640000,    -6.274554
0.650000,    -6.372469
0.660000,    -6.470379
0.670000,    -6.568283
0.680000,    -6.666181
0.690000,    -6.764072
0.700000,    -6.861958
0.710000,    -6.959837
0.720000,    -7.057710
0.730000,    -7.155577
0.740000,    -7.253437
0.750000,    -7.351290
0.760000,    -7.449137
0.770000,    -7.546977
0.780000,    -7.644810
0.790000,    -7.742636
0.800000,    -7.840455
0.810000,    -7.938267
0.820000,    -8.036072
0.830000,    -8.133869
0.840000,    -8.231659
0.850000,    -8.329441
0.860000,    -8.427216
0.870000,    -8.524983
0.880000,    -8.622743
0.890000,    -8.720494
0.900000,    -8.818238
0.910000,    -8.915974
0.920000,    -9.013701
0.930000,    -9.111420
0.940000,    -9.209131
0.950000,    -9.306834
0.960000,    -9.404528
0.970000,    -9.502213
0.980000,    -9.599890
0.990000,    -9.697558
1.000000,    -9.795218
1.010000,    -9.892868
1.020000,    -9.990509
1.030000,    -10.088142
1.040000,    -10.185765
1.050000,    -10.283378
1.060000,    -10.380983
1.070000,    -10.478578
1.080000,    -10.576163
1.090000,    -10.673739
1.100000,    -10.771305
1.110000,    -10.868861
1.120000,    -10.966408
1.130000,    -11.063944
1.140000,    -11.161470
1.150000,    -11.258987
1.160000,    -11.356493
1.170000,    -11.453988
1.180000,    -11.551473
1.190000,    -11.648948
1.200000,    -11.746412
1.210000,    -11.843865
1.220000,    -11.941308
1.230000,    -12.038740
1.240000,    -12.136161
1.250000,    -12.233570
1.260000,    -12.330969
1.270000,    -12.428356
1.280000,    -12.525732
1.290000,    -12.623097
1.300000,    -12.720450
1.310000,    -12.817792
1.320000,    -12.915122
1.330000,    -13.012440
1.340000,    -13.109747
1.350000,    -13.207041
1.360000,    -13.304324
1.370000,    -13.401594
1.380000,    -13.498853
1.390000,    -13.596099
1.400000,    -13.693332
1.410000,    -13.790554
1.420000,    -13.887762
1.430000,    -13.984959
1.440000,    -14.082142
1.450000,    -14.179313
1.460000,    -14.276470
1.470000,    -14.373615
1.480000,    -14.470747
1.490000,    -14.567866
1.500000,    -14.664971
1.510000,    -14.762063
1.520000,    -14.859142
1.530000,    -14.956207
1.540000,    -15.053259
1.550000,    -15.150297
1.560000,    -15.247321
1.570000,    -15.344332
1.580000,    -15.441328
1.590000,    -15.538311
1.600000,    -15.635279
1.610000,    -15.732234
1.620000,    -15.829174
1.630000,    -15.926100
1.640000,    -16.023011
1.650000,    -16.119908
1.660000,    -16.216790
1.670000,    -16.313658
1.680000,    -16.410510
1.690000,    -16.507348
1.700000,    -16.604171
1.710000,    -16.700979
1.720000,    -16.797772
1.730000,    -16.894550
1.740000,    -16.991312
1.750000,    -17.088059
1.760000,    -17.184791
1.770000,    -17.281507
1.780000,    -17.378207
1.790000,    -17.474892
1.800000,    -17.571561
1.810000,    -17.668214
1.820000,    -17.764851
1.830000,    -17.861472
1.840000,    -17.958076
1.850000,    -18.054665
1.860000,    -18.151237
1.870000,    -18.247793
1.880000,    -18.344333
1.890000,    -18.440856
1.900000,    -18.537362
1.910000,    -18.633852
1.920000,    -18.730324
1.930000,    -18.826780
1.940000,    -18.923219
1.950000,    -19.019641
1.960000,    -19.116046
1.970000,    -19.212433
1.980000,    -19.308803
1.990000,    -19.405156
2.000000,    -19.501491
2.010000,    -19.597809
2.020000,    -19.694109
2.030000,    -19.790392
2.040000,    -19.886656
2.050000,    -19.982903
2.060000,    -20.079131
2.070000,    -20.175342
2.080000,    -20.271534
2.090000,    -20.367708
2.100000,    -20.463864
2.110000,    -20.560002
2.120000,    -20.656121
2.130000,    -20.752221
2.140000,    -20.848303
2.150000,    -20.944366
2.160000,    -21.040410
2.170000,    -21.136435
2.180000,    -21.232442
2.190000,    -21.328429
2.200000,    -21.424397
2.210000,    -21.520346
2.220000,    -21.616276
2.230000,    -21.712186
2.240000,    -21.808076
2.250000,    -21.903948
2.260000,    -21.999799
2.270000,    -22.095631
2.280000,    -22.191443
2.290000,    -22.287235
2.300000,    -22.383007
2.310000,    -22.478759
2.320000,    -22.574491
2.330000,    -22.670203
2.340000,    -22.765894
2.350000,    -22.861566
2.360000,    -22.957216
2.370000,    -23.052846
2.380000,    -23.148456
2.390000,    -23.244044
2.400000,    -23.339612
2.410000,    -23.435160
2.420000,    -23.530686
2.430000,    -23.626191
2.440000,    -23.721675
2.450000,    -23.817138
2.460000,    -23.912579
2.470000,    -24.008000
2.480000,    -24.103398
2.490000,    -24.198776
2.500000,    -24.294131
2.510000,    -24.389465
2.520000,    -24.484778
2.530000,    -24.580068
2.540000,    -24.675337
2.550000,    -24.770583
2.560000,    -24.865808
2.570000,    -24.961010
2.580000,    -25.056190
2.590000,    -25.151348
2.600000,    -25.246483
2.610000,    -25.341596
2.620000,    -25.436687
2.630000,    -25.531754
2.640000,    -25.626799
2.650000,    -25.721822
2.660000,    -25.816821
2.670000,    -25.911797
2.680000,    -26.006751
2.690000,    -26.101681
2.700000,    -26.196588
2.710000,    -26.291472
2.720000,    -26.386333
2.730000,    -26.481170
2.740000,    -26.575983
2.750000,    -26.670773
2.760000,    -26.765540
2.770000,    -26.860282
2.780000,    -26.955001
2.790000,    -27.049696
2.800000,    -27.144367
2.810000,    -27.239014
2.820000,    -27.333637
2.830000,    -27.428236
2.840000,    -27.522810
2.850000,    -27.617360
2.860000,    -27.711886
2.870000,    -27.806387
2.880000,    -27.900863
2.890000,    -27.995315
2.900000,    -28.089742
2.910000,    -28.184144
2.920000,    -28.278521
2.930000,    -28.372874
2.940000,    -28.467201
2.950000,    -28.561503
2.960000,    -28.655780
2.970000,    -28.750032
2.980000,    -28.844258
2.990000,    -28.938459
3.000000,    -29.032635
3.010000,    -29.126784
3.020000,    -29.220909
3.030000,    -29.315007
3.040000,    -29.409080
3.050000,    -29.503126
3.060000,    -29.597147
3.070000,    -29.691142
3.080000,    -29.785110
3.090000,    -29.879053
3.100000,    -29.972969
3.110000,    -30.066859
3.120000,    -30.160722
3.130000,    -30.254559
3.140000,    -30.348369
3.150000,    -30.442153
3.160000,    -30.535910
3.170000,    -30.629640
3.180000,    -30.723343
3.190000,    -30.817020
3.200000,    -30.910669
3.210000,    -31.004291
3.220000,    -31.097886
3.230000,    -31.191454
3.240000,    -31.284995
3.250000,    -31.378508
3.260000,    -31.471993
3.270000,    -31.565452
3.280000,    -31.658882
3.290000,    -31.752285
3.300000,    -31.845660
3.310000,    -31.939007
3.320000,    -32.032327
3.330000,    -32.125618
3.340000,    -32.218881
3.350000,    -32.312117
3.360000,    -32.405324
3.370000,    -32.498502
3.380000,    -32.591653
3.390000,    -32.684775
3.400000,    -32.777868
3.410000,    -32.870933
3.420000,    -32.963969
3.430000,    -33.056977
3.440000,    -33.149956
3.450000,    -33.242906
3.460000,    -33.335827
3.470000,    -33.428719
3.480000,    -33.521582
3.490000,    -33.614416
3.500000,    -33.707220
3.510000,    -33.799996
3.520000,    -33.892742
3.530000,    -33.985458
3.540000,    -34.078145
3.550000,    -34.170803
3.560000,    -34.263431
3.570000,    -34.356029
3.580000,    -34.448597
3.590000,    -34.541136
3.600000,    -34.633645
3.610000,    -34.726123
3.620000,    -34.818572
3.630000,    -34.910990
3.640000,    -35.003378
3.650000,    -35.095736
3.660000,    -35.188064
3.670000,    -35.280361
3.680000,    -35.372628
3.690000,    -35.464864
3.700000,    -35.557070
3.710000,    -35.649245
3.720000,    -35.741389
3.730000,    -35.833502
3.740000,    -35.925585
3.750000,    -36.017636
3.760000,    -36.109656
3.770000,    -36.201646
3.780000,    -36.293604
3.790000,    -36.385531
3.800000,    -36.477426
3.810000,    -36.569291
3.820000,    -36.661123
3.830000,    -36.752925
3.840000,    -36.844694
3.850000,    -36.936432
3.860000,    -37.028138
3.870000,    -37.119813
3.880000,    -37.211456
3.890000,    -37.303066
3.900000,    -37.394645
3.910000,    -37.486192
3.920000,    -37.577706
3.930000,    -37.669188
3.940000,    -37.760639
3.950000,    -37.852056
3.960000,    -37.943442
3.970000,    -38.034795
3.980000,    -38.126115
3.990000,    -38.217403
4.000000,    -38.308658
4.010000,    -38.399880
4.020000,    -38.491070
4.030000,    -38.582226
4.040000,    -38.673350
4.050000,    -38.764441
4.060000,    -38.855499
4.070000,    -38.946523
4.080000,    -39.037515
4.090000,    -39.128473
4.100000,    -39.219398
4.110000,    -39.310289
4.120000,    -39.401147
4.130000,    -39.491972
4.140000,    -39.582763
4.150000,    -39.673520
4.160000,    -39.764244
4.170000,    -39.854934
4.180000,    -39.945590
4.190000,    -40.036212
4.200000,    -40.126800
4.210000,    -40.217354
4.220000,    -40.307874
4.230000,    -40.398359
4.240000,    -40.488811
4.250000,    -40.579228
4.260000,    -40.669611
4.270000,    -40.759960
4.280000,    -40.850274
4.290000,    -40.940553
4.300000,    -41.030798
4.310000,    -41.121009
4.320000,    -41.211184
4.330000,    -41.301325
4.340000,    -41.391431
4.350000,    -41.481502
4.360000,    -41.571537
4.370000,    -41.661538
4.380000,    -41.751504
4.390000,    -41.841435
4.400000,    -41.931330
4.410000,    -42.021190
4.420000,    -42.111015
4.430000,    -42.200804
4.440000,    -42.290558
4.450000,    -42.380277
4.460000,    -42.469959
4.470000,    -42.559606
4.480000,    -42.649218
4.490000,    -42.738793
4.500000,    -42.828333
4.510000,    -42.917837
4.520000,    -43.007305
4.530000,    -43.096736
4.540000,    -43.186132
4.550000,    -43.275492
4.560000,    -43.364815
4.570000,    -43.454102
4.580000,    -43.543353
4.590000,    -43.632567
4.600000,    -43.721745
4.610000,    -43.810887
4.620000,    -43.899991
4.630000,    -43.989060
4.640000,    -44.078091
4.650000,    -44.167086
4.660000,    -44.256044
4.670000,    -44.344965
4.680000,    -44.433849
4.690000,    -44.522696
4.700000,    -44.611507
4.710000,    -44.700280
4.720000,    -44.789016
4.730000,    -44.877714
4.740000,    -44.966376
4.750000,    -45.055000
4.760000,    -45.143587
4.770000,    -45.232136
4.780000,    -45.320648
4.790000,    -45.409122
4.800000,    -45.497558
4.810000,    -45.585957
4.820000,    -45.674319
4.830000,    -45.762642
4.840000,    -45.850928
4.850000,    -45.939175
4.860000,    -46.027385
4.870000,    -46.115556
4.880000,    -46.203690
4.890000,    -46.291785
4.900000,    -46.379843
4.910000,    -46.467862
4.920000,    -46.555842
4.930000,    -46.643785
4.940000,    -46.731689
4.950000,    -46.819554
4.960000,    -46.907381
4.970000,    -46.995170
4.980000,    -47.082919
4.990000,    -47.170630
5.000000,    -47.258303
5.010000,    -47.345936
5.020000,    -47.433531
5.030000,    -47.521087
5.040000,    -47.608604
5.050000,    -47.696081
5.060000,    -47.783520
5.070000,    -47.870920
5.080000,    -47.958280
5.090000,    -48.045601
5.100000,    -48.132883
5.110000,    -48.220126
5.120000,    -48.307329
5.130000,    -48.394492
5.140000,    -48.481617
5.150000,    -48.568701
5.160000,    -48.655746
5.170000,    -48.742752
5.180000,    -48.829717
5.190000,    -48.916643
5.200000,    -49.003529
5.210000,    -49.090376
5.220000,    -49.177182
5.230000,    -49.263948
5.240000,    -49.350674
5.250000,    -49.437361
5.260000,    -49.524007
5.270000,    -49.610613
5.280000,    -49.697178
5.290000,    -49.783704
5.300000,    -49.870189
5.310000,    -49.956633
5.320000,    -50.043037
5.330000,    -50.129401
5.340000,    -50.215724
5.350000,    -50.302007
5.360000,    -50.388249
5.370000,    -50.474450
5.380000,    -50.560610
5.390000,    -50.646730
5.400000,    -50.732809
5.410000,    -50.818847
5.420000,    -50.904844
5.430000,    -50.990800
5.440000,    -51.076715
5.450000,    -51.162588
5.460000,    -51.248421
5.470000,    -51.334213
5.480000,    -51.419963
5.490000,    -51.505672
5.500000,    -51.591339
5.510000,    -51.676966
5.520000,    -51.762550
5.530000,    -51.848094
5.540000,    -51.933596
5.550000,    -52.019056
5.560000,    -52.104474
5.570000,    -52.189851
5.580000,    -52.275186
5.590000,    -52.360480
5.600000,    -52.445731
5.610000,    -52.530941
5.620000,    -52.616108
5.630000,    -52.701234
5.640000,    -52.786318
5.650000,    -52.871360
5.660000,    -52.956359
5.670000,    -53.041317
5.680000,    -53.126232
5.690000,    -53.211105
5.700000,    -53.295936
5.710000,    -53.380724
5.720000,    -53.465470
5.730000,    -53.550173
5.740000,    -53.634834
5.750000,    -53.719453
5.760000,    -53.804029
5.770000,    -53.888562
5.780000,    -53.973053
5.790000,    -54.057501
5.800000,    -54.141906
5.810000,    -54.226268
5.820000,    -54.310588
5.830000,    -54.394864
5.840000,    -54.479098
5.850000,    -54.563289
5.860000,    -54.647437
5.870000,    -54.731541
5.880000,    -54.815603
5.890000,    -54.899621
5.900000,    -54.983596
5.910000,    -55.067528
5.920000,    -55.151417
5.930000,    -55.235262
5.940000,    -55.319064
5.950000,    -55.402823
5.960000,    -55.486538
5.970000,    -55.570209
5.980000,    -55.653837
5.990000,    -55.737422
6.000000,    -55.820962
6.010000,    -55.904460
6.020000,    -55.987913
6.030000,    -56.071323
6.040000,    -56.154688
6.050000,    -56.238010
6.060000,    -56.321289
6.070000,    -56.404523
6.080000,    -56.487713
6.090000,    -56.570859
6.100000,    -56.653961
6.110000,    -56.737019
6.120000,    -56.820033
6.130000,    -56.903003
6.140000,    -56.985928
6.150000,    -57.068809
6.160000,    -57.151646
6.170000,    -57.234439
6.180000,    -57.317187
6.190000,    -57.399891
6.200000,    -57.482550
6.210000,    -57.565165
6.220000,    -57.647735
6.230000,    -57.730261
6.240000,    -57.812742
6.250000,    -57.895179
6.260000,    -57.977570
6.270000,    -58.059917
6.280000,    -58.142219
6.290000,    -58.224477
6.300000,    -58.306689
6.310000,    -58.388857
6.320000,    -58.470980
6.330000,    -58.553057
6.340000,    -58.635090
6.350000,    -58.717078
6.360000,    -58.799020
6.370000,    -58.880917
6.380000,    -58.962770
6.390000,    -59.044577
6.400000,    -59.126339
6.410000,    -59.208055
6.420000,    -59.289726
6.430000,    -59.371352
6.440000,    -59.452933
6.450000,    -59.534468
6.460000,    -59.615957
6.470000,    -59.697401
6.480000,    -59.778800
6.490000,    -59.860153
6.500000,    -59.941460
6.510000,    -60.022722
6.520000,    -60.103938
6.530000,    -60.185108
6.540000,    -60.266232
6.550000,    -60.347311
6.560000,    -60.428344
6.570000,    -60.509331
6.580000,    -60.590272
6.590000,    -60.671167
6.600000,    -60.752017
6.610000,    -60.832820
6.620000,    -60.913577
6.630000,    -60.994288
6.640000,    -61.074953
6.650000,    -61.155572
6.660000,    -61.236144
6.670000,    -61.316671
6.680000,    -61.397151
6.690000,    -61.477585
6.700000,    -61.557972
6.710000,    -61.638314
6.720000,    -61.718609
6.730000,    -61.798857
6.740000,    -61.879059
6.750000,    -61.959214
6.760000,    -62.039323
6.770000,    -62.119386
6.780000,    -62.199402
6.790000,    -62.279371
6.800000,    -62.359293
6.810000,    -62.439169
6.820000,    -62.518998
6.830000,    -62.598781
6.840000,    -62.678516
6.850000,    -62.758205
6.860000,    -62.837847
6.870000,    -62.917442
6.880000,    -62.996991
6.890000,    -63.076492
6.900000,    -63.155946
6.910000,    -63.235353
6.920000,    -63.314714
6.930000,    -63.394027
6.940000,    -63.473293
6.950000,    -63.552512
6.960000,    -63.631684
6.970000,    -63.710808
6.980000,    -63.789885
6.990000,    -63.868916
7.000000,    -63.947898
7.010000,    -64.026834
7.020000,    -64.105722
7.030000,    -64.184563
7.040000,    -64.263356
7.050000,    -64.342102
7.060000,    -64.420801
7.070000,    -64.499452
7.080000,    -64.578055
7.090000,    -64.656611
7.100000,    -64.735120
7.110000,    -64.813581
7.120000,    -64.891994
7.130000,    -64.970359
7.140000,    -65.048677
7.150000,    -65.126947
7.160000,    -65.205169
7.170000,    -65.283344
7.180000,    -65.361471
7.190000,    -65.439550
7.200000,    -65.517581
7.210000,    -65.595564
7.220000,    -65.673499
7.230000,    -65.751386
7.240000,    -65.829226
7.250000,    -65.907017
7.260000,    -65.984760
7.270000,    -66.062455
7.280000,    -66.140103
7.290000,    -66.217702
7.300000,    -66.295252
7.310000,    -66.372755
7.320000,    -66.450210
7.330000,    -66.527616
7.340000,    -66.604974
7.350000,    -66.682284
7.360000,    -66.759546
7.370000,    -66.836759
7.380000,    -66.913924
7.390000,    -66.991040
7.400000,    -67.068108
7.410000,    -67.145128
7.420000,    -67.222099
7.430000,    -67.299022
7.440000,    -67.375897
7.450000,    -67.452722
7.460000,    -67.529500
7.470000,    -67.606228
7.480000,    -67.682908
7.490000,    -67.759540
7.500000,    -67.836123
7.510000,    -67.912657
7.520000,    -67.989142
7.530000,    -68.065579
7.540000,    -68.141967
7.550000,    -68.218306
7.560000,    -68.294597
7.570000,    -68.370839
7.580000,    -68.447031
7.590000,    -68.523175
7.600000,    -68.599270
7.610000,    -68.675317
7.620000,    -68.751314
7.630000,    -68.827262
7.640000,    -68.903162
7.650000,    -68.979012
7.660000,    -69.054813
7.670000,    -69.130566
7.680000,    -69.206269
7.690000,    -69.281923
7.700000,    -69.357528
7.710000,    -69.433084
7.720000,    -69.508591
7.730000,    -69.584049
7.740000,    -69.659457
7.750000,    -69.734816
7.760000,    -69.810127
7.770000,    -69.885387
7.780000,    -69.960599
7.790000,    -70.035761
7.800000,    -70.110874
7.810000,    -70.185938
7.820000,    -70.260952
7.830000,    -70.335917
7.840000,    -70.410832
7.850000,    -70.485698
7.860000,    -70.560515
7.870000,    -70.635282
7.880000,    -70.710000
7.890000,    -70.784668
7.900000,    -70.859286
7.910000,    -70.933855
7.920000,    -71.008375
7.930000,    -71.082845
7.940000,    -71.157266
7.950000,    -71.231636
7.960000,    -71.305958
7.970000,    -71.380229
7.980000,    -71.454451
7.990000,    -71.528623
8.000000,    -71.602746
8.010000,    -71.676818
8.020000,    -71.750841
8.030000,    -71.824815
8.040000,    -71.898738
8.050000,    -71.972612
8.060000,    -72.046436
8.070000,    -72.120210
8.080000,    -72.193934
8.090000,    -72.267609
8.100000,    -72.341233
8.110000,    -72.414808
8.120000,    -72.488332
8.130000,    -72.561807
8.140000,    -72.635232
8.150000,    -72.708607
8.160000,    -72.781932
8.170000,    -72.855206
8.180000,    -72.928431
8.190000,    -73.001606
8.200000,    -73.074731
8.210000,    -73.147806
8.220000,    -73.220830
8.230000,    -73.293805
8.240000,    -73.366729
8.250000,    -73.439604
8.260000,    -73.512428
8.270000,    -73.585202
