"time (s)","velocity (m/s)"
0.000000,    0.000000
0.010000,    -0.098100
0.020000,    -0.196197
0.030000,    -0.294285
0.040000,    -0.392358
0.050000,    -0.490409
0.060000,    -0.588434
0.070000,    -0.686425
0.080000,    -0.784378
0.090000,    -0.882285
0.100000,    -0.980140
0.110000,    -1.077939
0.120000,    -1.175674
0.130000,    -1.273341
0.140000,    -1.370932
0.150000,    -1.468442
0.160000,    -1.565866
0.170000,    -1.663197
0.180000,    -1.760429
0.190000,    -1.857557
0.200000,    -1.954574
0.210000,    -2.051476
0.220000,    -2.148255
0.230000,    -2.244907
0.240000,    -2.341426
0.250000,    -2.437806
0.260000,    -2.534042
0.270000,    -2.630127
0.280000,    -2.726057
0.290000,    -2.821826
0.300000,    -2.917428
0.310000,    -3.012857
0.320000,    -3.108110
0.330000,    -3.203179
0.340000,    -3.298060
0.350000,    -3.392747
0.360000,    -3.487236
0.370000,    -3.581521
0.380000,    -3.675597
0.390000,    -3.769458
0.400000,    -3.863101
0.410000,    -3.956519
0.420000,    -4.049708
0.430000,    -4.142662
0.440000,    -4.235378
0.450000,    -4.327851
0.460000,    -4.420074
0.470000,    -4.512045
0.480000,    -4.603758
0.490000,    -4.695209
0.500000,    -4.786393
0.510000,    -4.877305
0.520000,    -4.967942
0.530000,    -5.058299
0.540000,    -5.148372
0.550000,    -5.238157
0.560000,    -5.327649
0.570000,    -5.416844
0.580000,    -5.505738
0.590000,    -5.594328
0.600000,    -5.682610
0.610000,    -5.770579
0.620000,    -5.858232
0.630000,    -5.945565
0.640000,    -6.032575
0.650000,    -6.119258
0.660000,    -6.205610
0.670000,    -6.291629
0.680000,    -6.377310
0.690000,    -6.462651
0.700000,    -6.547648
0.710000,    -6.632298
0.720000,    -6.716598
0.730000,    -6.800545
0.740000,    -6.884136
0.750000,    -6.967368
0.760000,    -7.050238
0.770000,    -7.132744
0.780000,    -7.214883
0.790000,    -7.296652
0.800000,    -7.378049
0.810000,    -7.459071
0.820000,    -7.539716
0.830000,    -7.619981
0.840000,    -7.699865
0.850000,    -7.779365
0.860000,    -7.858479
0.870000,    -7.937204
0.880000,    -8.015540
0.890000,    -8.093483
0.900000,    -8.171033
0.910000,    -8.248187
0.920000,    -8.324943
0.930000,    -8.401300
0.940000,    -8.477257
0.950000,    -8.552811
0.960000,    -8.627962
0.970000,    -8.702708
0.980000,    -8.777047
0.990000,    -8.850978
1.000000,    -8.924501
1.010000,    -8.997614
1.020000,    -9.070315
1.030000,    -9.142605
1.040000,    -9.214481
1.050000,    -9.285944
1.060000,    -9.356992
1.070000,    -9.427624
1.080000,    -9.497840
1.090000,    -9.567639
1.100000,    -9.637020
1.110000,    -9.705984
1.120000,    -9.774529
1.130000,    -9.842655
1.140000,    -9.910362
1.150000,    -9.977649
1.160000,    -10.044517
1.170000,    -10.110964
1.180000,    -10.176991
1.190000,    -10.242598
1.200000,    -10.307785
1.210000,    -10.372551
1.220000,    -10.436897
1.230000,    -10.500824
1.240000,    -10.564330
1.250000,    -10.627416
1.260000,    -10.690083
1.270000,    -10.752331
1.280000,    -10.814161
1.290000,    -10.875571
1.300000,    -10.936565
1.310000,    -10.997140
1.320000,    -11.057299
1.330000,    -11.117042
1.340000,    -11.176368
1.350000,    -11.235281
1.360000,    -11.293778
1.370000,    -11.351863
1.380000,    -11.409534
1.390000,    -11.466794
1.400000,    -11.523643
1.410000,    -11.580082
1.420000,    -11.636112
1.430000,    -11.691733
1.440000,    -11.746948
1.450000,    -11.801757
1.460000,    -11.856160
1.470000,    -11.910160
1.480000,    -11.963758
1.490000,    -12.016953
1.500000,    -12.069749
1.510000,    -12.122146
1.520000,    -12.174145
1.530000,    -12.225747
1.540000,    -12.276955
1.550000,    -12.327769
1.560000,    -12.378191
1.570000,    -12.428222
1.580000,    -12.477863
1.590000,    -12.527117
1.600000,    -12.575984
1.610000,    -12.624467
1.620000,    -12.672566
1.630000,    -12.720283
1.640000,    -12.767620
1.650000,    -12.814579
1.660000,    -12.861161
1.670000,    -12.907368
1.680000,    -12.953201
1.690000,    -12.998662
1.700000,    -13.043753
1.710000,    -13.088476
1.720000,    -13.132832
1.730000,    -13.176823
1.740000,    -13.220451
1.750000,    -13.263718
1.760000,    -13.306625
1.770000,    -13.349175
1.780000,    -13.391369
1.790000,    -13.433208
1.800000,    -13.474696
1.810000,    -13.515833
1.820000,    -13.556623
1.830000,    -13.597065
1.840000,    -13.637163
1.850000,    -13.676919
1.860000,    -13.716334
1.870000,    -13.755410
1.880000,    -13.794149
1.890000,    -13.832554
1.900000,    -13.870626
1.910000,    -13.908366
1.920000,    -13.945778
1.930000,    -13.982863
1.940000,    -14.019623
1.950000,    -14.056060
1.960000,    -14.092177
1.970000,    -14.127974
1.980000,    -14.163454
1.990000,    -14.198619
2.000000,    -14.233472
2.010000,    -14.268013
2.020000,    -14.302246
2.030000,    -14.336172
2.040000,    -14.369793
2.050000,    -14.403111
2.060000,    -14.436129
2.070000,    -14.468848
2.080000,    -14.501270
2.090000,    -14.533397
2.100000,    -14.565232
2.110000,    -14.596776
2.120000,    -14.628032
2.130000,    -14.659001
2.140000,    -14.689685
2.150000,    -14.720087
2.160000,    -14.750208
2.170000,    -14.780051
2.180000,    -14.809618
2.190000,    -14.838910
2.200000,    -14.867929
2.210000,    -14.896678
2.220000,    -14.925159
2.230000,    -14.953373
2.240000,    -14.981323
2.250000,    -15.009010
2.260000,    -15.036437
2.270000,    -15.063605
2.280000,    -15.090516
2.290000,    -15.117173
2.300000,    -15.143578
2.310000,    -15.169731
2.320000,    -15.195636
2.330000,    -15.221295
2.340000,    -15.246708
2.350000,    -15.271878
2.360000,    -15.296808
2.370000,    -15.321498
2.380000,    -15.345951
2.390000,    -15.370169
2.400000,    -15.394154
2.410000,    -15.417907
2.420000,    -15.441431
2.430000,    -15.464726
2.440000,    -15.487796
2.450000,    -15.510642
2.460000,    -15.533266
2.470000,    -15.555669
2.480000,    -15.577854
2.490000,    -15.599822
2.500000,    -15.621575
2.510000,    -15.643115
2.520000,    -15.664444
2.530000,    -15.685563
2.540000,    -15.706475
2.550000,    -15.727181
2.560000,    -15.747682
2.570000,    -15.767981
2.580000,    -15.788080
2.590000,    -15.807979
2.600000,    -15.827681
2.610000,    -15.847188
2.620000,    -15.866501
2.630000,    -15.885621
2.640000,    -15.904551
2.650000,    -15.923293
2.660000,    -15.941847
2.670000,    -15.960216
2.680000,    -15.978401
2.690000,    -15.996403
2.700000,    -16.014225
2.710000,    -16.031869
2.720000,    -16.049334
2.730000,    -16.066624
2.740000,    -16.083740
2.750000,    -16.100683
2.760000,    -16.117455
2.770000,    -16.134058
2.780000,    -16.150492
2.790000,    -16.166760
2.800000,    -16.182863
2.810000,    -16.198803
2.820000,    -16.214581
2.830000,    -16.230198
2.840000,    -16.245656
2.850000,    -16.260957
2.860000,    -16.276102
2.870000,    -16.291092
2.880000,    -16.305929
2.890000,    -16.320614
2.900000,    -16.335149
2.910000,    -16.349536
2.920000,    -16.363774
2.930000,    -16.377867
2.940000,    -16.391814
2.950000,    -16.405619
2.960000,    -16.419281
2.970000,    -16.432802
2.980000,    -16.446185
2.990000,    -16.459429
3.000000,    -16.472536
3.010000,    -16.485508
3.020000,    -16.498346
3.030000,    -16.511051
3.040000,    -16.523625
3.050000,    -16.536068
3.060000,    -16.548382
3.070000,    -16.560568
3.080000,    -16.572628
3.090000,    -16.584562
3.100000,    -16.596372
3.110000,    -16.608060
3.120000,    -16.619625
3.130000,    -16.631070
3.140000,    -16.642396
3.150000,    -16.653603
3.160000,    -16.664693
3.170000,    -16.675668
3.180000,    -16.686527
3.190000,    -16.697273
3.200000,    -16.707906
3.210000,    -16.718428
3.220000,    -16.728840
3.230000,    -16.739142
3.240000,    -16.749336
3.250000,    -16.759423
3.260000,    -16.769404
3.270000,    -16.779280
3.280000,    -16.789053
3.290000,    -16.798722
3.300000,    -16.808289
3.310000,    -16.817755
3.320000,    -16.827122
3.330000,    -16.836390
3.340000,    -16.845559
3.350000,    -16.854632
3.360000,    -16.863609
3.370000,    -16.872491
3.380000,    -16.881279
3.390000,    -16.889974
3.400000,    -16.898577
3.410000,    -16.907089
3.420000,    -16.915510
3.430000,    -16.923842
3.440000,    -16.932085
3.450000,    -16.940241
3.460000,    -16.948311
3.470000,    -16.956294
3.480000,    -16.964193
3.490000,    -16.972007
3.500000,    -16.979739
3.510000,    -16.987388
3.520000,    -16.994955
3.530000,    -17.002442
3.540000,    -17.009849
3.550000,    -17.017177
3.560000,    -17.024427
3.570000,    -17.031599
3.580000,    -17.038694
3.590000,    -17.045714
3.600000,    -17.052659
3.610000,    -17.059529
3.620000,    -17.066326
3.630000,    -17.073050
3.640000,    -17.079703
3.650000,    -17.086283
3.660000,    -17.092794
3.670000,    -17.099234
3.680000,    -17.105606
3.690000,    -17.111909
3.700000,    -17.118144
3.710000,    -17.124312
3.720000,    -17.130415
3.730000,    -17.136451
3.740000,    -17.142423
3.750000,    -17.148330
3.760000,    -17.154174
3.770000,    -17.159955
3.780000,    -17.165674
3.790000,    -17.171331
3.800000,    -17.176927
3.810000,    -17.182463
3.820000,    -17.187940
3.830000,    -17.193357
3.840000,    -17.198716
3.850000,    -17.204017
3.860000,    -17.209260
3.870000,    -17.214448
3.880000,    -17.219579
3.890000,    -17.224654
3.900000,    -17.229675
3.910000,    -17.234642
3.920000,    -17.239555
3.930000,    -17.244414
3.940000,    -17.249222
3.950000,    -17.253977
3.960000,    -17.258680
3.970000,    -17.263333
3.980000,    -17.267935
3.990000,    -17.272488
4.000000,    -17.276991
4.010000,    -17.281445
4.020000,    -17.285852
4.030000,    -17.290210
4.040000,    -17.294521
4.050000,    -17.298785
4.060000,    -17.303003
4.070000,    -17.307175
4.080000,    -17.311302
4.090000,    -17.315384
4.100000,    -17.319422
4.110000,    -17.323415
4.120000,    -17.327366
4.130000,    -17.331273
4.140000,    -17.335138
4.150000,    -17.338961
4.160000,    -17.342743
4.170000,    -17.346483
4.180000,    -17.350182
4.190000,    -17.353842
4.200000,    -17.357461
4.210000,    -17.361041
4.220000,    -17.364582
4.230000,    -17.368084
4.240000,    -17.371549
4.250000,    -17.374975
4.260000,    -17.378364
4.270000,    -17.381716
4.280000,    -17.385032
4.290000,    -17.388312
4.300000,    -17.391555
4.310000,    -17.394763
4.320000,    -17.397937
4.330000,    -17.401075
4.340000,    -17.404180
4.350000,    -17.407250
4.360000,    -17.410287
4.370000,    -17.413291
4.380000,    -17.416262
4.390000,    -17.419200
4.400000,    -17.422107
4.410000,    -17.424981
4.420000,    -17.427825
4.430000,    -17.430637
4.440000,    -17.433418
4.450000,    -17.436169
4.460000,    -17.438890
4.470000,    -17.441581
4.480000,    -17.444243
4.490000,    -17.446875
4.500000,    -17.449479
4.510000,    -17.452054
4.520000,    -17.454601
4.530000,    -17.457120
4.540000,    -17.459611
4.550000,    -17.462076
4.560000,    -17.464513
4.570000,    -17.466923
4.580000,    -17.469307
4.590000,    -17.471665
4.600000,    -17.473997
4.610000,    -17.476304
4.620000,    -17.478585
4.630000,    -17.480841
4.640000,    -17.483073
4.650000,    -17.485280
4.660000,    -17.487463
4.670000,    -17.489621
4.680000,    -17.491757
4.690000,    -17.493868
4.700000,    -17.495957
4.710000,    -17.498022
4.720000,    -17.500065
4.730000,    -17.502086
4.740000,    -17.504084
4.750000,    -17.506060
4.760000,    -17.508015
4.770000,    -17.509948
4.780000,    -17.511860
4.790000,    -17.513751
4.800000,    -17.515621
4.810000,    -17.517471
4.820000,    -17.519300
4.830000,    -17.521109
4.840000,    -17.522899
4.850000,    -17.524668
4.860000,    -17.526418
4.870000,    -17.528149
4.880000,    -17.529861
4.890000,    -17.531554
4.900000,    -17.533229
4.910000,    -17.534885
4.920000,    -17.536523
4.930000,    -17.538142
4.940000,    -17.539744
4.950000,    -17.541329
4.960000,    -17.542895
4.970000,    -17.544445
4.980000,    -17.545978
4.990000,    -17.547493
5.000000,    -17.548992
5.010000,    -17.550475
5.020000,    -17.551941
5.030000,    -17.553391
5.040000,    -17.554825
5.050000,    -17.556243
5.060000,    -17.557646
5.070000,    -17.559033
5.080000,    -17.560405
5.090000,    -17.561762
5.100000,    -17.563104
5.110000,    -17.564431
5.120000,    -17.565743
5.130000,    -17.567041
5.140000,    -17.568325
5.150000,    -17.569594
5.160000,    -17.570850
5.170000,    -17.572092
5.180000,    -17.573320
5.190000,    -17.574534
5.200000,    -17.575735
5.210000,    -17.576923
5.220000,    -17.578098
5.230000,    -17.579259
5.240000,    -17.580408
5.250000,    -17.581545
5.260000,    -17.582668
5.270000,    -17.583780
5.280000,    -17.584879
5.290000,    -17.585966
5.300000,    -17.587041
5.310000,    -17.588104
5.320000,    -17.589155
5.330000,    -17.590195
5.340000,    -17.591223
5.350000,    -17.592240
5.360000,    -17.593246
5.370000,    -17.594240
5.380000,    -17.595224
5.390000,    -17.596197
5.400000,    -17.597159
5.410000,    -17.598110
5.420000,    -17.599051
5.430000,    -17.599982
5.440000,    -17.600902
5.450000,    -17.601812
5.460000,    -17.602712
5.470000,    -17.603602
5.480000,    -17.604482
5.490000,    -17.605353
5.500000,    -17.606214
5.510000,    -17.607065
5.520000,    -17.607907
5.530000,    -17.608740
5.540000,    -17.609563
5.550000,    -17.610378
5.560000,    -17.611183
5.570000,    -17.611980
5.580000,    -17.612767
5.590000,    -17.613546
5.600000,    -17.614317
5.610000,    -17.615079
5.620000,    -17.615832
5.630000,    -17.616577
5.640000,    -17.617314
5.650000,    -17.618043
5.660000,    -17.618763
5.670000,    -17.619476
5.680000,    -17.620181
5.690000,    -17.620878
5.700000,    -17.621567
5.710000,    -17.622249
5.720000,    -17.622923
5.730000,    -17.623590
5.740000,    -17.624249
5.750000,    -17.624901
5.760000,    -17.625546
5.770000,    -17.626184
5.780000,    -17.626815
5.790000,    -17.627438
5.800000,    -17.628055
5.810000,    -17.628665
5.820000,    -17.629268
5.830000,    -17.629865
5.840000,    -17.630455
5.850000,    -17.631038
5.860000,    -17.631615
5.870000,    -17.632186
5.880000,    -17.632750
5.890000,    -17.633308
5.900000,    -17.633860
5.910000,    -17.634406
5.920000,    -17.634945
5.930000,    -17.635479
5.940000,    -17.636007
5.950000,    -17.636529
5.960000,    -17.637045
5.970000,    -17.637556
5.980000,    -17.638061
5.990000,    -17.638560
6.000000,    -17.639054
6.010000,    -17.639542
6.020000,    -17.640025
6.030000,    -17.640502
6.040000,    -17.640975
6.050000,    -17.641442
6.060000,    -17.641903
6.070000,    -17.642360
6.080000,    -17.642812
6.090000,    -17.643259
6.100000,    -17.643700
6.110000,    -17.644137
6.120000,    -17.644569
6.130000,    -17.644996
6.140000,    -17.645419
6.150000,    -17.645837
6.160000,    -17.646250
6.170000,    -17.646659
6.180000,    -17.647063
6.190000,    -17.647462
6.200000,    -17.647857
6.210000,    -17.648248
6.220000,    -17.648635
6.230000,    -17.649017
6.240000,    -17.649395
6.250000,    -17.649769
6.260000,    -17.650138
6.270000,    -17.650504
6.280000,    -17.650865
6.290000,    -17.651223
6.300000,    -17.651576
6.310000,    -17.651926
6.320000,    -17.652272
6.330000,    -17.652614
6.340000,    -17.652952
6.350000,    -17.653286
6.360000,    -17.653617
6.370000,    -17.653944
6.380000,    -17.654267
6.390000,    -17.654587
6.400000,    -17.654904
6.410000,    -17.655216
6.420000,    -17.655526
6.430000,    -17.655832
6.440000,    -17.656134
6.450000,    -17.656433
6.460000,    -17.656729
6.470000,    -17.657022
6.480000,    -17.657311
6.490000,    -17.657597
6.500000,    -17.657880
6.510000,    -17.658160
6.520000,    -17.658436
6.530000,    -17.658710
6.540000,    -17.658981
6.550000,    -17.659248
6.560000,    -17.659513
6.570000,    -17.659775
6.580000,    -17.660034
6.590000,    -17.660289
6.600000,    -17.660543
6.610000,    -17.660793
6.620000,    -17.661040
6.630000,    -17.661285
6.640000,    -17.661527
6.650000,    -17.661767
6.660000,    -17.662003
6.670000,    -17.662238
6.680000,    -17.662469
6.690000,    -17.662698
6.700000,    -17.662924
6.710000,    -17.663148
6.720000,    -17.663370
6.730000,    -17.663589
6.740000,    -17.663805
6.750000,    -17.664019
6.760000,    -17.664231
6.770000,    -17.664441
6.780000,    -17.664648
6.790000,    -17.664853
6.800000,    -17.665055
6.810000,    -17.665255
6.820000,    -17.665453
6.830000,    -17.665649
6.840000,    -17.665843
6.850000,    -17.666035
6.860000,    -17.666224
6.870000,    -17.666411
6.880000,    -17.666597
6.890000,    -17.666780
6.900000,    -17.666961
6.910000,    -17.667140
6.920000,    -17.667317
6.930000,    -17.667493
6.940000,    -17.667666
6.950000,    -17.667837
6.960000,    -17.668007
6.970000,    -17.668174
6.980000,    -17.668340
6.990000,    -17.668504
7.000000,    -17.668666
7.010000,    -17.668826
7.020000,    -17.668985
7.030000,    -17.669141
7.040000,    -17.669296
7.050000,    -17.669450
7.060000,    -17.669601
7.070000,    -17.669751
7.080000,    -17.669899
7.090000,    -17.670046
7.100000,    -17.670191
7.110000,    -17.670334
7.120000,    -17.670476
7.130000,    -17.670616
7.140000,    -17.670755
7.150000,    -17.670892
7.160000,    -17.671028
7.170000,    -17.671162
7.180000,    -17.671294
7.190000,    -17.671425
7.200000,    -17.671555
7.210000,    -17.671683
7.220000,    -17.671810
7.230000,    -17.671935
7.240000,    -17.672059
7.250000,    -17.672182
7.260000,    -17.672303
7.270000,    -17.672423
7.280000,    -17.672542
7.290000,    -17.672659
7.300000,    -17.672775
7.310000,    -17.672890
7.320000,    -17.673003
7.330000,    -17.673116
7.340000,    -17.673226
7.350000,    -17.673336
7.360000,    -17.673445
7.370000,    -17.673552
7.380000,    -17.673658
7.390000,    -17.673763
7.400000,    -17.673867
7.410000,    -17.673969
7.420000,    -17.674071
7.430000,    -17.674171
7.440000,    -17.674270
7.450000,    -17.674368
7.460000,    -17.674465
7.470000,    -17.674561
7.480000,    -17.674656
7.490000,    -17.674750
7.500000,    -17.674843
7.510000,    -17.674935
7.520000,    -17.675026
7.530000,    -17.675115
7.540000,    -17.675204
7.550000,    -17.675292
7.560000,    -17.675379
7.570000,    -17.675464
7.580000,    -17.675549
7.590000,    -17.675633
7.600000,    -17.675716
7.610000,    -17.675798
7.620000,    -17.675880
7.630000,    -17.675960
7.640000,    -17.676039
7.650000,    -17.676118
7.660000,    -17.676195
7.670000,    -17.676272
7.680000,    -17.676348
7.690000,    -17.676423
7.700000,    -17.676497
7.710000,    -17.676571
7.720000,    -17.676643
7.730000,    -17.676715
7.740000,    -17.676786
7.750000,    -17.676856
7.760000,    -17.676926
7.770000,    -17.676995
7.780000,    -17.677062
7.790000,    -17.677130
7.800000,    -17.677196
7.810000,    -17.677262
7.820000,    -17.677327
7.830000,    -17.677391
7.840000,    -17.677454
7.850000,    -17.677517
7.860000,    -17.677579
7.870000,    -17.677641
7.880000,    -17.677701
7.890000,    -17.677762
7.900000,    -17.677821
7.910000,    -17.677880
7.920000,    -17.677938
7.930000,    -17.677995
7.940000,    -17.678052
7.950000,    -17.678108
7.960000,    -17.678164
7.970000,    -17.678219
7.980000,    -17.678273
7.990000,    -17.678327
8.000000,    -17.678380
8.010000,    -17.678432
8.020000,    -17.678484
8.030000,    -17.678536
8.040000,    -17.678587
8.050000,    -17.678637
8.060000,    -17.678687
8.070000,    -17.678736
8.080000,    -17.678784
8.090000,    -17.678832
8.100000,    -17.678880
8.110000,    -17.678927
8.120000,    -17.678973
8.130000,    -17.679019
8.140000,    -17.679065
8.150000,    -17.679110
8.160000,    -17.679154
8.170000,    -17.679198
8.180000,    -17.679242
8.190000,    -17.679285
8.200000,    -17.679327
8.210000,    -17.679369
8.220000,    -17.679411
8.230000,    -17.679452
8.240000,    -17.679492
8.250000,    -17.679533
8.260000,    -17.679572
8.270000,    -17.679612
