"time (s)","velocity (m/s)"
0.000000,    0.000000
0.010000,    -0.098100
0.020000,    -0.196200
0.030000,    -0.294299
0.040000,    -0.392397
0.050000,    -0.490494
0.060000,    -0.588590
0.070000,    -0.686683
0.080000,    -0.784773
0.090000,    -0.882861
0.100000,    -0.980946
0.110000,    -1.079027
0.120000,    -1.177104
0.130000,    -1.275176
0.140000,    -1.373244
0.150000,    -1.471307
0.160000,    -1.569364
0.170000,    -1.667416
0.180000,    -1.765461
0.190000,    -1.863499
0.200000,    -1.961530
0.210000,    -2.059554
0.220000,    -2.157570
0.230000,    -2.255578
0.240000,    -2.353578
0.250000,    -2.451568
0.260000,    -2.549550
0.270000,    -2.647521
0.280000,    -2.745483
0.290000,    -2.843434
0.300000,    -2.941374
0.310000,    -3.039303
0.320000,    -3.137220
0.330000,    -3.235126
0.340000,    -3.333019
0.350000,    -3.430899
0.360000,    -3.528767
0.370000,    -3.626621
0.380000,    -3.724461
0.390000,    -3.822287
0.400000,    -3.920098
0.410000,    -4.017894
0.420000,    -4.115675
0.430000,    -4.213440
0.440000,    -4.311189
0.450000,    -4.408922
0.460000,    -4.506638
0.470000,    -4.604337
0.480000,    -4.702018
0.490000,    -4.799681
0.500000,    -4.897325
0.510000,    -4.994951
0.520000,    -5.092558
0.530000,    -5.190146
0.540000,    -5.287713
0.550000,    -5.385261
0.560000,    -5.482788
0.570000,    -5.580293
0.580000,    -5.677778
0.590000,    -5.775241
0.600000,    -5.872682
0.610000,    -5.970100
0.620000,    -6.067496
0.630000,    -6.164868
0.640000,    -6.262217
0.650000,    -6.359542
0.660000,    -6.456843
0.670000,    -6.554119
0.680000,    -6.651370
0.690000,    -6.748595
0.700000,    -6.845795
0.710000,    -6.942969
0.720000,    -7.040116
0.730000,    -7.137237
0.740000,    -7.234330
0.750000,    -7.331396
0.760000,    -7.428433
0.770000,    -7.525443
0.780000,    -7.622424
0.790000,    -7.719375
0.800000,    -7.816298
0.810000,    -7.913190
0.820000,    -8.010053
0.830000,    -8.106885
0.840000,    -8.203686
0.850000,    -8.300456
0.860000,    -8.397194
0.870000,    -8.493900
0.880000,    -8.590574
0.890000,    -8.687216
0.900000,    -8.783824
0.910000,    -8.880400
0.920000,    -8.976941
0.930000,    -9.073448
0.940000,    -9.169921
0.950000,    -9.266359
0.960000,    -9.362762
0.970000,    -9.459130
0.980000,    -9.555462
0.990000,    -9.651757
1.000000,    -9.748016
1.010000,    -9.844238
1.020000,    -9.940423
1.030000,    -10.036570
1.040000,    -10.132679
1.050000,    -10.228750
1.060000,    -10.324782
1.070000,    -10.420775
1.080000,    -10.516729
1.090000,    -10.612643
1.100000,    -10.708517
1.110000,    -10.804351
1.120000,    -10.900144
1.130000,    -10.995896
1.140000,    -11.091606
1.150000,    -11.187275
1.160000,    -11.282901
1.170000,    -11.378485
1.180000,    -11.474026
1.190000,    -11.569524
1.200000,    -11.664979
1.210000,    -11.760390
1.220000,    -11.855756
1.230000,    -11.951078
1.240000,    -12.046356
1.250000,    -12.141588
1.260000,    -12.236774
1.270000,    -12.331915
1.280000,    -12.427009
1.290000,    -12.522057
1.300000,    -12.617058
1.310000,    -12.712012
1.320000,    -12.806918
1.330000,    -12.901777
1.340000,    -12.996587
1.350000,    -13.091349
1.360000,    -13.186061
1.370000,    -13.280725
1.380000,    -13.375339
1.390000,    -13.469904
1.400000,    -13.564418
1.410000,    -13.658881
1.420000,    -13.753294
1.430000,    -13.847656
1.440000,    -13.941966
1.450000,    -14.036224
1.460000,    -14.130431
1.470000,    -14.224585
1.480000,    -14.318686
1.490000,    -14.412734
1.500000,    -14.506728
1.510000,    -14.600669
1.520000,    -14.694556
1.530000,    -14.788388
1.540000,    -14.882166
1.550000,    -14.975889
1.560000,    -15.069556
1.570000,    -15.163168
1.580000,    -15.256724
1.590000,    -15.350224
1.600000,    -15.443667
1.610000,    -15.537053
1.620000,    -15.630382
1.630000,    -15.723654
1.640000,    -15.816868
1.650000,    -15.910023
1.660000,    -16.003121
1.670000,    -16.096159
1.680000,    -16.189139
1.690000,    -16.282059
1.700000,    -16.374920
1.710000,    -16.467720
1.720000,    -16.560461
1.730000,    -16.653141
1.740000,    -16.745760
1.750000,    -16.838317
1.760000,    -16.930814
1.770000,    -17.023249
1.780000,    -17.115621
1.790000,    -17.207932
1.800000,    -17.300179
1.810000,    -17.392364
1.820000,    -17.484486
1.830000,    -17.576544
1.840000,    -17.668538
1.850000,    -17.760469
1.860000,    -17.852335
1.870000,    -17.944136
1.880000,    -18.035872
1.890000,    -18.127543
1.900000,    -18.219149
1.910000,    -18.310689
1.920000,    -18.402162
1.930000,    -18.493569
1.940000,    -18.584910
1.950000,    -18.676184
1.960000,    -18.767390
1.970000,    -18.858529
1.980000,    -18.949600
1.990000,    -19.040604
2.000000,    -19.131538
2.010000,    -19.222405
2.020000,    -19.313202
2.030000,    -19.403930
2.040000,    -19.494589
2.050000,    -19.585178
2.060000,    -19.675697
2.070000,    -19.766146
2.080000,    -19.856525
2.090000,    -19.946832
2.100000,    -20.037069
2.110000,    -20.127234
2.120000,    -20.217328
2.130000,    -20.307349
2.140000,    -20.397299
2.150000,    -20.487177
2.160000,    -20.576981
2.170000,    -20.666713
2.180000,    -20.756372
2.190000,    -20.845957
2.200000,    -20.935469
2.210000,    -21.024907
2.220000,    -21.114270
2.230000,    -21.203559
2.240000,    -21.292774
2.250000,    -21.381914
2.260000,    -21.470978
2.270000,    -21.559967
2.280000,    -21.648880
2.290000,    -21.737717
2.300000,    -21.826479
2.310000,    -21.915163
2.320000,    -22.003771
2.330000,    -22.092303
2.340000,    -22.180757
2.350000,    -22.269133
2.360000,    -22.357432
2.370000,    -22.445653
2.380000,    -22.533796
2.390000,    -22.621861
2.400000,    -22.709847
2.410000,    -22.797754
2.420000,    -22.885582
2.430000,    -22.973331
2.440000,    -23.061000
2.450000,    -23.148590
2.460000,    -23.236100
2.470000,    -23.323529
2.480000,    -23.410878
2.490000,    -23.498146
2.500000,    -23.585333
2.510000,    -23.672440
2.520000,    -23.759464
2.530000,    -23.846408
2.540000,    -23.933269
2.550000,    -24.020048
2.560000,    -24.106746
2.570000,    -24.193360
2.580000,    -24.279892
2.590000,    -24.366342
2.600000,    -24.452708
2.610000,    -24.538990
2.620000,    -24.625189
2.630000,    -24.711305
2.640000,    -24.797336
2.650000,    -24.883283
2.660000,    -24.969146
2.670000,    -25.054925
2.680000,    -25.140618
2.690000,    -25.226226
2.700000,    -25.311750
2.710000,    -25.397187
2.720000,    -25.482540
2.730000,    -25.567806
2.740000,    -25.652986
2.750000,    -25.738080
2.760000,    -25.823088
2.770000,    -25.908009
2.780000,    -25.992843
2.790000,    -26.077591
2.800000,    -26.162251
2.810000,    -26.246823
2.820000,    -26.331308
2.830000,    -26.415705
2.840000,    -26.500014
2.850000,    -26.584236
2.860000,    -26.668368
2.870000,    -26.752412
2.880000,    -26.836368
2.890000,    -26.920234
2.900000,    -27.004012
2.910000,    -27.087700
2.920000,    -27.171298
2.930000,    -27.254807
2.940000,    -27.338226
2.950000,    -27.421556
2.960000,    -27.504795
2.970000,    -27.587943
2.980000,    -27.671001
2.990000,    -27.753969
3.000000,    -27.836845
3.010000,    -27.919631
3.020000,    -28.002325
3.030000,    -28.084928
3.040000,    -28.167439
3.050000,    -28.249858
3.060000,    -28.332186
3.070000,    -28.414422
3.080000,    -28.496565
3.090000,    -28.578616
3.100000,    -28.660574
3.110000,    -28.742440
3.120000,    -28.824213
3.130000,    -28.905892
3.140000,    -28.987479
3.150000,    -29.068972
3.160000,    -29.150372
3.170000,    -29.231678
3.180000,    -29.312890
3.190000,    -29.394008
3.200000,    -29.475033
3.210000,    -29.555962
3.220000,    -29.636798
3.230000,    -29.717539
3.240000,    -29.798185
3.250000,    -29.878736
3.260000,    -29.959193
3.270000,    -30.039554
3.280000,    -30.119820
3.290000,    -30.199990
3.300000,    -30.280065
3.310000,    -30.360044
3.320000,    -30.439927
3.330000,    -30.519715
3.340000,    -30.599406
3.350000,    -30.679001
3.360000,    -30.758499
3.370000,    -30.837901
3.380000,    -30.917207
3.390000,    -30.996415
3.400000,    -31.075527
3.410000,    -31.154542
3.420000,    -31.233459
3.430000,    -31.312279
3.440000,    -31.391002
3.450000,    -31.469627
3.460000,    -31.548154
3.470000,    -31.626584
3.480000,    -31.704916
3.490000,    -31.783149
3.500000,    -31.861285
3.510000,    -31.939322
3.520000,    -32.017261
3.530000,    -32.095101
3.540000,    -32.172843
3.550000,    -32.250486
3.560000,    -32.328030
3.570000,    -32.405475
3.580000,    -32.482821
3.590000,    -32.560068
3.600000,    -32.637215
3.610000,    -32.714263
3.620000,    -32.791212
3.630000,    -32.868061
3.640000,    -32.944810
3.650000,    -33.021460
3.660000,    -33.098009
3.670000,    -33.174459
3.680000,    -33.250808
3.690000,    -33.327057
3.700000,    -33.403206
3.710000,    -33.479254
3.720000,    -33.555202
3.730000,    -33.631049
3.740000,    -33.706796
3.750000,    -33.782441
3.760000,    -33.857986
3.770000,    -33.933430
3.780000,    -34.008773
3.790000,    -34.084014
3.800000,    -34.159155
3.810000,    -34.234193
3.820000,    -34.309131
3.830000,    -34.383967
3.840000,    -34.458701
3.850000,    -34.533334
3.860000,    -34.607865
3.870000,    -34.682294
3.880000,    -34.756621
3.890000,    -34.830847
3.900000,    -34.904970
3.910000,    -34.978991
3.920000,    -35.052909
3.930000,    -35.126726
3.940000,    -35.200440
3.950000,    -35.274051
3.960000,    -35.347560
3.970000,    -35.420967
3.980000,    -35.494271
3.990000,    -35.567472
4.000000,    -35.640570
4.010000,    -35.713565
4.020000,    -35.786458
4.030000,    -35.859247
4.040000,    -35.931934
4.050000,    -36.004517
4.060000,    -36.076997
4.070000,    -36.149374
4.080000,    -36.221647
4.090000,    -36.293817
4.100000,    -36.365884
4.110000,    -36.437847
4.120000,    -36.509706
4.130000,    -36.581463
4.140000,    -36.653115
4.150000,    -36.724664
4.160000,    -36.796108
4.170000,    -36.867450
4.180000,    -36.938687
4.190000,    -37.009820
4.200000,    -37.080849
4.210000,    -37.151775
4.220000,    -37.222596
4.230000,    -37.293313
4.240000,    -37.363926
4.250000,    -37.434435
4.260000,    -37.504840
4.270000,    -37.575140
4.280000,    -37.645336
4.290000,    -37.715428
4.300000,    -37.785415
4.310000,    -37.855298
4.320000,    -37.925076
4.330000,    -37.994750
4.340000,    -38.064320
4.350000,    -38.133784
4.360000,    -38.203144
4.370000,    -38.272400
4.380000,    -38.341551
4.390000,    -38.410597
4.400000,    -38.479538
4.410000,    -38.548375
4.420000,    -38.617107
4.430000,    -38.685734
4.440000,    -38.754256
4.450000,    -38.822673
4.460000,    -38.890986
4.470000,    -38.959193
4.480000,    -39.027296
4.490000,    -39.095293
4.500000,    -39.163186
4.510000,    -39.230973
4.520000,    -39.298656
4.530000,    -39.366233
4.540000,    -39.433706
4.550000,    -39.501073
4.560000,    -39.568335
4.570000,    -39.635493
4.580000,    -39.702545
4.590000,    -39.769491
4.600000,    -39.836333
4.610000,    -39.903070
4.620000,    -39.969701
4.630000,    -40.036227
4.640000,    -40.102648
4.650000,    -40.168964
4.660000,    -40.235175
4.670000,    -40.301280
4.680000,    -40.367280
4.690000,    -40.433175
4.700000,    -40.498965
4.710000,    -40.564650
4.720000,    -40.630229
4.730000,    -40.695703
4.740000,    -40.761072
4.750000,    -40.826335
4.760000,    -40.891494
4.770000,    -40.956547
4.780000,    -41.021495
4.790000,    -41.086337
4.800000,    -41.151075
4.810000,    -41.215707
4.820000,    -41.280234
4.830000,    -41.344656
4.840000,    -41.408972
4.850000,    -41.473184
4.860000,    -41.537290
4.870000,    -41.601291
4.880000,    -41.665187
4.890000,    -41.728978
4.900000,    -41.792663
4.910000,    -41.856244
4.920000,    -41.919719
4.930000,    -41.983089
4.940000,    -42.046355
4.950000,    -42.109515
4.960000,    -42.172570
4.970000,    -42.235520
4.980000,    -42.298365
4.990000,    -42.361105
5.000000,    -42.423740
5.010000,    -42.486270
5.020000,    -42.548695
5.030000,    -42.611015
5.040000,    -42.673231
5.050000,    -42.735341
5.060000,    -42.797347
5.070000,    -42.859248
5.080000,    -42.921044
5.090000,    -42.982735
5.100000,    -43.044322
5.110000,    -43.105803
5.120000,    -43.167181
5.130000,    -43.228453
5.140000,    -43.289621
5.150000,    -43.350684
5.160000,    -43.411643
5.170000,    -43.472497
5.180000,    -43.533247
5.190000,    -43.593892
5.200000,    -43.654433
5.210000,    -43.714870
5.220000,    -43.775202
5.230000,    -43.835429
5.240000,    -43.895553
5.250000,    -43.955572
5.260000,    -44.015487
5.270000,    -44.075298
5.280000,    -44.135005
5.290000,    -44.194607
5.300000,    -44.254106
5.310000,    -44.313500
5.320000,    -44.372791
5.330000,    -44.431978
5.340000,    -44.491060
5.350000,    -44.550039
5.360000,    -44.608915
5.370000,    -44.667686
5.380000,    -44.726354
5.390000,    -44.784918
5.400000,    -44.843378
5.410000,    -44.901735
5.420000,    -44.959989
5.430000,    -45.018139
5.440000,    -45.076185
5.450000,    -45.134129
5.460000,    -45.191968
5.470000,    -45.249705
5.480000,    -45.307338
5.490000,    -45.364869
5.500000,    -45.422296
5.510000,    -45.479620
5.520000,    -45.536841
5.530000,    -45.593960
5.540000,    -45.650975
5.550000,    -45.707888
5.560000,    -45.764697
5.570000,    -45.821404
5.580000,    -45.878009
5.590000,    -45.934511
5.600000,    -45.990910
5.610000,    -46.047207
5.620000,    -46.103401
5.630000,    -46.159494
5.640000,    -46.215483
5.650000,    -46.271371
5.660000,    -46.327156
5.670000,    -46.382840
5.680000,    -46.438421
5.690000,    -46.493901
5.700000,    -46.549278
5.710000,    -46.604554
5.720000,    -46.659728
5.730000,    -46.714800
5.740000,    -46.769770
5.750000,    -46.824639
5.760000,    -46.879407
5.770000,    -46.934073
5.780000,    -46.988638
5.790000,    -47.043101
5.800000,    -47.097463
5.810000,    -47.151725
5.820000,    -47.205885
5.830000,    -47.259944
5.840000,    -47.313902
5.850000,    -47.367759
5.860000,    -47.421515
5.870000,    -47.475171
5.880000,    -47.528726
5.890000,    -47.582181
5.900000,    -47.635535
5.910000,    -47.688789
5.920000,    -47.741942
5.930000,    -47.794995
5.940000,    -47.847948
5.950000,    -47.900801
5.960000,    -47.953554
5.970000,    -48.006206
5.980000,    -48.058759
5.990000,    -48.111213
6.000000,    -48.163566
6.010000,    -48.215820
6.020000,    -48.267975
6.030000,    -48.320030
6.040000,    -48.371985
6.050000,    -48.423841
6.060000,    -48.475599
6.070000,    -48.527257
6.080000,    -48.578816
6.090000,    -48.630276
6.100000,    -48.681637
6.110000,    -48.732899
6.120000,    -48.784063
6.130000,    -48.835128
6.140000,    -48.886094
6.150000,    -48.936962
6.160000,    -48.987732
6.170000,    -49.038404
6.180000,    -49.088977
6.190000,    -49.139452
6.200000,    -49.189829
6.210000,    -49.240109
6.220000,    -49.290290
6.230000,    -49.340374
6.240000,    -49.390360
6.250000,    -49.440249
6.260000,    -49.490040
6.270000,    -49.539734
6.280000,    -49.589331
6.290000,    -49.638830
6.300000,    -49.688233
6.310000,    -49.737538
6.320000,    -49.786746
6.330000,    -49.835858
6.340000,    -49.884873
6.350000,    -49.933792
6.360000,    -49.982614
6.370000,    -50.031339
6.380000,    -50.079968
6.390000,    -50.128501
6.400000,    -50.176938
6.410000,    -50.225279
6.420000,    -50.273524
6.430000,    -50.321673
6.440000,    -50.369726
6.450000,    -50.417684
6.460000,    -50.465546
6.470000,    -50.513313
6.480000,    -50.560984
6.490000,    -50.608561
6.500000,    -50.656042
6.510000,    -50.703428
6.520000,    -50.750719
6.530000,    -50.797915
6.540000,    -50.845017
6.550000,    -50.892024
6.560000,    -50.938936
6.570000,    -50.985754
6.580000,    -51.032478
6.590000,    -51.079108
6.600000,    -51.125643
6.610000,    -51.172085
6.620000,    -51.218432
6.630000,    -51.264686
6.640000,    -51.310846
6.650000,    -51.356912
6.660000,    -51.402886
6.670000,    -51.448765
6.680000,    -51.494552
6.690000,    -51.540245
6.700000,    -51.585845
6.710000,    -51.631352
6.720000,    -51.676767
6.730000,    -51.722088
6.740000,    -51.767317
6.750000,    -51.812454
6.760000,    -51.857498
6.770000,    -51.902450
6.780000,    -51.947310
6.790000,    -51.992077
6.800000,    -52.036753
6.810000,    -52.081337
6.820000,    -52.125829
6.830000,    -52.170229
6.840000,    -52.214538
6.850000,    -52.258756
6.860000,    -52.302882
6.870000,    -52.346917
6.880000,    -52.390861
6.890000,    -52.434714
6.900000,    -52.478476
6.910000,    -52.522148
6.920000,    -52.565728
6.930000,    -52.609219
6.940000,    -52.652618
6.950000,    -52.695928
6.960000,    -52.739147
6.970000,    -52.782277
6.980000,    -52.825316
6.990000,    -52.868266
7.000000,    -52.911126
7.010000,    -52.953896
7.020000,    -52.996577
7.030000,    -53.039168
7.040000,    -53.081670
7.050000,    -53.124083
7.060000,    -53.166407
7.070000,    -53.208642
7.080000,    -53.250788
7.090000,    -53.292846
7.100000,    -53.334815
7.110000,    -53.376696
7.120000,    -53.418488
7.130000,    -53.460192
7.140000,    -53.501808
7.150000,    -53.543336
7.160000,    -53.584776
7.170000,    -53.626128
7.180000,    -53.667393
7.190000,    -53.708570
7.200000,    -53.749660
7.210000,    -53.790663
7.220000,    -53.831578
7.230000,    -53.872407
7.240000,    -53.913148
7.250000,    -53.953803
7.260000,    -53.994371
7.270000,    -54.034853
7.280000,    -54.075248
7.290000,    -54.115557
7.300000,    -54.155779
7.310000,    -54.195916
7.320000,    -54.235966
7.330000,    -54.275931
7.340000,    -54.315810
7.350000,    -54.355604
7.360000,    -54.395312
7.370000,    -54.434934
7.380000,    -54.474472
7.390000,    -54.513924
7.400000,    -54.553291
7.410000,    -54.592574
7.420000,    -54.631772
7.430000,    -54.670885
7.440000,    -54.709913
7.450000,    -54.748858
7.460000,    -54.787718
7.470000,    -54.826494
7.480000,    -54.865185
7.490000,    -54.903794
7.500000,    -54.942318
7.510000,    -54.980758
7.520000,    -55.019116
7.530000,    -55.057389
7.540000,    -55.095580
7.550000,    -55.133687
7.560000,    -55.171711
7.570000,    -55.209653
7.580000,    -55.247511
7.590000,    -55.285287
7.600000,    -55.322981
7.610000,    -55.360592
7.620000,    -55.398121
7.630000,    -55.435567
7.640000,    -55.472932
7.650000,    -55.510215
7.660000,    -55.547416
7.670000,    -55.584535
7.680000,    -55.621573
7.690000,    -55.658529
7.700000,    -55.695404
7.710000,    -55.732198
7.720000,    -55.768911
7.730000,    -55.805543
7.740000,    -55.842094
7.750000,    -55.878565
7.760000,    -55.914955
7.770000,    -55.951264
7.780000,    -55.987494
7.790000,    -56.023643
7.800000,    -56.059712
7.810000,    -56.095702
7.820000,    -56.131611
7.830000,    -56.167441
7.840000,    -56.203191
7.850000,    -56.238862
7.860000,    -56.274454
7.870000,    -56.309966
7.880000,    -56.345400
7.890000,    -56.380755
7.900000,    -56.416031
7.910000,    -56.451228
7.920000,    -56.486346
7.930000,    -56.521387
7.940000,    -56.556349
7.950000,    -56.591233
7.960000,    -56.626039
7.970000,    -56.660767
7.980000,    -56.695417
7.990000,    -56.729990
8.000000,    -56.764485
8.010000,    -56.798903
8.020000,    -56.833243
8.030000,    -56.867507
8.040000,    -56.901693
8.050000,    -56.935803
8.060000,    -56.969835
8.070000,    -57.003792
8.080000,    -57.037671
8.090000,    -57.071475
8.100000,    -57.105202
8.110000,    -57.138853
8.120000,    -57.172428
8.130000,    -57.205927
8.140000,    -57.239350
8.150000,    -57.272698
8.160000,    -57.305971
8.170000,    -57.339168
8.180000,    -57.372290
8.190000,    -57.405336
8.200000,    -57.438308
8.210000,    -57.471205
8.220000,    -57.504027
8.230000,    -57.536775
8.240000,    -57.569448
8.250000,    -57.602047
8.260000,    -57.634572
8.270000,    -57.667022
