Lake Michigan-Huron:, Annual Lake-Wide Average Water Levels (1918 - Present)
Source:, NOAA/NOS; CHS
year,AnnAvg,Change
1918,176.89,0
1919,176.74,-0.15
1920,176.62,-0.12
1921,176.49,-0.13
1922,176.44,-0.05
1923,176.26,-0.18
1924,176.19,-0.07
1925,175.92,-0.27
1926,175.88,-0.04
1927,176.15,0.27
1928,176.44,0.29
1929,176.9,0.46
1930,176.65,-0.25
1931,176.12,-0.53
1932,175.94,-0.18
1933,175.87,-0.07
1934,175.77,-0.1
1935,175.89,0.12
1936,175.94,0.05
1937,175.92,-0.02
1938,176.14,0.22
1939,176.27,0.13
1940,176.14,-0.13
1941,176.12,-0.02
1942,176.33,0.21
1943,176.63,0.3
1944,176.6,-0.03
1945,176.57,-0.03
1946,176.6,0.03
1947,176.57,-0.03
1948,176.53,-0.04
1949,176.21,-0.32
1950,176.26,0.05
1951,176.74,0.48
1952,177.08,0.34
1953,176.93,-0.15
1954,176.83,-0.1
1955,176.72,-0.11
1956,176.44,-0.28
1957,176.26,-0.18
1958,176.07,-0.19
1959,176.01,-0.06
1960,176.48,0.47
1961,176.38,-0.1
1962,176.22,-0.16
1963,175.92,-0.3
1964,175.68,-0.24
1965,175.92,0.24
1966,176.16,0.24
1967,176.3,0.14
1968,176.45,0.15
1969,176.7,0.25
1970,176.68,-0.02
1971,176.8,0.12
1972,176.89,0.09
1973,177.12,0.23
1974,177.09,-0.03
1975,176.97,-0.12
1976,176.9,-0.07
1977,176.5,-0.4
1978,176.59,0.09
1979,176.79,0.2
1980,176.8,0.01
1981,176.7,-0.1
1982,176.6,-0.1
1983,176.83,0.23
1984,176.9,0.07
1985,177.13,0.23
1986,177.29,0.16
1987,176.97,-0.32
1988,176.56,-0.41
1989,176.4,-0.16
1990,176.35,-0.05
1991,176.47,0.12
1992,176.48,0.01
1993,176.7,0.22
1994,176.68,-0.02
1995,176.53,-0.15
1996,176.65,0.12
1997,176.98,0.33
1998,176.72,-0.26
1999,176.24,-0.48
2000,175.98,-0.26
2001,175.95,-0.03
2002,176.12,0.17
2003,175.89,-0.23
2004,176.11,0.22
2005,176.09,-0.02
2006,176.02,-0.07
2007,175.94,-0.08
2008,176,0.06
2009,176.26,0.26
2010,176.11,-0.15
2011,176.04,-0.07
2012,175.92,-0.12
2013,175.9,-0.02
2014,176.3,0.4000000000000057
2015,176.59,0.28999999999999204
