Lake Ontario:, Annual Lake-Wide Average Water Levels (1918 - Present)
Source:, NOAA/NOS; CHS
year,AnnAvg,Change
1918,74.87,0
1919,74.96,0.09
1920,74.57,-0.39
1921,74.67,0.1
1922,74.66,-0.01
1923,74.44,-0.22
1924,74.56,0.12
1925,74.39,-0.17
1926,74.4,0.01
1927,74.61,0.21
1928,74.8,0.19
1929,75.08,0.28
1930,75.08,0
1931,74.36,-0.72
1932,74.5,0.14
1933,74.28,-0.22
1934,74.02,-0.26
1935,74,-0.02
1936,74.16,0.16
1937,74.5,0.34
1938,74.52,0.02
1939,74.49,-0.03
1940,74.43,-0.06
1941,74.41,-0.02
1942,74.52,0.11
1943,75.13,0.61
1944,74.85,-0.28
1945,75.06,0.21
1946,74.99,-0.07
1947,75.17,0.18
1948,75.08,-0.09
1949,74.74,-0.34
1950,74.89,0.15
1951,75.25,0.36
1952,75.37,0.12
1953,75.02,-0.35
1954,74.98,-0.04
1955,75.15,0.17
1956,74.92,-0.23
1957,74.63,-0.29
1958,74.43,-0.2
1959,74.48,0.05
1960,74.71,0.23
1961,74.61,-0.1
1962,74.64,0.03
1963,74.66,0.02
1964,74.29,-0.37
1965,74.4,0.11
1966,74.69,0.29
1967,74.86,0.17
1968,74.8,-0.06
1969,74.75,-0.05
1970,74.69,-0.06
1971,74.72,0.03
1972,74.94,0.22
1973,75.21,0.27
1974,75.07,-0.14
1975,74.81,-0.26
1976,75.04,0.23
1977,74.76,-0.28
1978,74.92,0.16
1979,74.84,-0.08
1980,74.82,-0.02
1981,74.79,-0.03
1982,74.75,-0.04
1983,74.82,0.07
1984,74.9,0.08
1985,74.88,-0.02
1986,75.15,0.27
1987,74.85,-0.3
1988,74.68,-0.17
1989,74.76,0.08
1990,74.8,0.04
1991,74.87,0.07
1992,74.83,-0.04
1993,75.04,0.21
1994,74.76,-0.28
1995,74.74,-0.02
1996,74.87,0.13
1997,74.96,0.09
1998,74.91,-0.05
1999,74.57,-0.34
2000,74.78,0.21
2001,74.7,-0.08
2002,74.79,0.09
2003,74.71,-0.08
2004,74.85,0.14
2005,74.81,-0.04
2006,74.83,0.02
2007,74.75,-0.08
2008,74.88,0.13
2009,74.87,-0.01
2010,74.67,-0.2
2011,74.8,0.13
2012,74.7,-0.1
2013,74.74,0.04
2014,74.77,0.030000000000001137
2015,74.74,-0.030000000000001137
