State,Abbrev,Electoral votes,Population,Poll N,Clinton,Cl_error,Trump,Tr_error,Johnson,Jo_error
Alabama,AL,9,4833722,379,23.00,3.54,54.00,8.32,4.00,0.62
Alaska,AK,3,735132,660,31.00,3.62,36.00,4.20,18.00,2.10
Arizona,AZ,11,6626624,550,43.00,5.50,42.00,5.37,5.00,0.64
Arkansas,AR,6,2959373,831,34.00,3.54,55.00,5.72,3.00,0.31
California,CA,55,38332521,1055,47.00,4.34,31.00,2.86,10.00,0.92
Colorado,CO,9,5268367,1246,40.00,3.40,40.00,3.40,10.00,0.85
Connecticut,CT,7,3596080,1000,50.00,4.74,35.00,3.32,9.00,0.85
Delaware,DE,3,925749,762,51.00,5.54,30.00,3.26,7.00,0.76
District of Columbia,DC,3,646449,316,80.00,13.50,14.00,2.36,5.00,0.84
Florida,FL,29,19552860,985,46.00,4.40,42.00,4.01,5.00,0.48
Georgia,GA,16,9992167,1400,42.00,3.37,48.00,3.85,4.00,0.32
Hawaii,HI,4,1404054,304,64.00,11.01,32.00,5.51,2.00,0.34
Idaho,ID,4,1612136,602,23.00,2.81,44.00,5.38,13.00,1.59
Illinois,IL,20,12882135,865,53.00,5.41,28.00,2.86,5.00,0.51
Indiana,IN,11,6570902,874,36.00,3.65,45.00,4.57,10.00,1.01
Iowa,IA,6,3090416,642,39.00,4.62,43.00,5.09,6.00,0.71
Kansas,KS,6,2893957,595,36.00,4.43,48.00,5.90,8.00,0.98
Kentucky,KY,8,4395295,370,37.00,5.77,57.00,8.89,6.00,0.94
Louisiana,LA,8,4625470,905,35.00,3.49,45.00,4.49,6.00,0.60
Maine,ME,4,1328302,892,44.00,4.42,36.00,3.62,9.00,0.90
Maryland,MD,10,5928814,706,63.00,7.11,27.00,3.05,4.00,0.45
Massachusetts,MA,11,6692824,700,47.00,5.33,34.00,3.86,9.00,1.02
Michigan,MI,16,9895622,600,42.00,5.14,31.00,3.80,10.00,1.22
Minnesota,MN,10,5420380,625,46.00,5.52,39.00,4.68,6.00,0.72
Mississippi,MS,6,2991207,324,42.00,7.00,54.00,9.00,4.00,0.67
Missouri,MO,10,6044171,2171,42.00,2.70,47.00,3.03,4.00,0.26
Montana,MT,3,1015165,496,40.00,5.39,54.00,7.27,6.00,0.81
Nebraska,NE,5,1868516,700,29.00,3.29,56.00,6.35,7.00,0.79
Nevada,NV,6,2790136,986,47.00,4.49,43.00,4.11,10.00,0.96
New Hampshire,NH,4,1323459,501,41.00,5.50,38.00,5.09,11.00,1.47
New Jersey,NJ,14,8899339,638,46.00,5.46,40.00,4.75,6.00,0.71
New Mexico,NM,5,2085287,594,46.00,5.66,33.00,4.06,14.00,1.72
New York,NY,29,19651127,676,52.00,6.00,31.00,3.58,7.00,0.81
North Carolina,NC,15,9848060,743,45.00,4.95,41.00,4.51,9.00,0.99
North Dakota,ND,3,723393,400,32.00,4.80,43.00,6.45,8.00,1.20
Ohio,OH,18,11570808,724,41.00,4.57,42.00,4.68,9.00,1.00
Oklahoma,OK,7,3850568,515,36.00,4.76,51.00,6.74,6.00,0.79
Oregon,OR,7,3930065,854,48.00,4.93,38.00,3.90,6.00,0.62
Pennsylvania,PA,20,12773801,806,48.00,5.07,39.00,4.12,6.00,0.63
Rhode Island,RI,4,1051511,600,52.00,6.37,32.00,3.92,5.00,0.61
South Carolina,SC,9,4774839,475,38.00,5.23,42.00,5.78,7.00,0.96
South Dakota,SD,3,844877,317,42.00,7.08,54.00,9.10,4.00,0.67
Tennessee,TN,11,6495978,1000,33.00,3.13,44.00,4.17,7.00,0.66
Texas,TX,38,26448193,638,43.00,5.11,47.00,5.58,3.00,0.36
Utah,UT,6,2900872,403,28.00,4.18,34.00,5.08,29.00,4.33
Vermont,VT,3,626630,600,47.00,5.76,26.00,3.18,13.00,1.59
Virginia,VA,13,8260405,600,46.00,5.63,43.00,5.27,6.00,0.73
Washington,WA,12,6971406,700,44.00,4.99,38.00,4.31,7.00,0.79
West Virginia,WV,5,1854304,500,28.00,3.76,60.00,8.05,4.00,0.54
Wisconsin,WI,10,5742713,878,44.00,4.45,37.00,3.75,9.00,0.91
Wyoming,WY,3,582658,402,19.00,2.84,54.00,8.08,10.00,1.50
